parameter_code,parameter_name,state_name,anio,promedio_anual_estado
42101,Carbon monoxide,Florida,2023,0.34729981263202137
42101,Carbon monoxide,Florida,2024,0.3235442350391536
42101,Carbon monoxide,Georgia,2015,0.4982990530008776
42101,Carbon monoxide,Georgia,2016,0.5555707610249413
42101,Carbon monoxide,Georgia,2017,0.46505277891023455
42101,Carbon monoxide,Georgia,2018,0.4428176131629896
42101,Carbon monoxide,Georgia,2019,0.4475747475510121
42101,Carbon monoxide,Georgia,2020,0.4478820091558678
42101,Carbon monoxide,Georgia,2021,0.4725801726576704
42101,Carbon monoxide,Georgia,2022,0.4433910552992582
42101,Carbon monoxide,Georgia,2023,0.46676187354414783
42101,Carbon monoxide,Georgia,2024,0.42973817207907483
42101,Carbon monoxide,Hawaii,2015,0.42738286066858355
42101,Carbon monoxide,Hawaii,2016,0.3709466853690904
42101,Carbon monoxide,Hawaii,2017,0.2882647434503321
42101,Carbon monoxide,Hawaii,2018,0.343324092460381
42101,Carbon monoxide,Hawaii,2019,0.19179605673717126
42101,Carbon monoxide,Hawaii,2020,0.18319139219874556
42101,Carbon monoxide,Hawaii,2021,0.20211355765010924
42101,Carbon monoxide,Hawaii,2022,0.08738620246790843
42101,Carbon monoxide,Hawaii,2023,0.11102727577148158
42101,Carbon monoxide,Hawaii,2024,0.11018179649865655
42101,Carbon monoxide,Idaho,2015,0.32063566469305194
42101,Carbon monoxide,Idaho,2016,0.29607148615813594
42101,Carbon monoxide,Idaho,2017,0.3330034150832145
42101,Carbon monoxide,Idaho,2018,0.44402613215230213
42101,Carbon monoxide,Idaho,2019,0.3883427210572286
42101,Carbon monoxide,Idaho,2020,0.3574223986145592
42101,Carbon monoxide,Idaho,2021,0.34321374465743193
42101,Carbon monoxide,Idaho,2022,0.1966735944070155
42101,Carbon monoxide,Idaho,2023,0.19043097511409518
42101,Carbon monoxide,Idaho,2024,0.16342692721562227
42101,Carbon monoxide,Illinois,2015,0.2692515731060715
42101,Carbon monoxide,Illinois,2016,0.21919497947070948
42101,Carbon monoxide,Illinois,2017,0.2336699073880924
42101,Carbon monoxide,Illinois,2018,0.23803008071191592
42101,Carbon monoxide,Illinois,2019,0.2408939454329556
42101,Carbon monoxide,Illinois,2020,0.20218318559674414
42101,Carbon monoxide,Illinois,2021,0.21416515091306396
42101,Carbon monoxide,Illinois,2022,0.20801758514613378
42101,Carbon monoxide,Illinois,2023,0.21868370112339733
42101,Carbon monoxide,Illinois,2024,0.20436721673022967
42101,Carbon monoxide,Indiana,2015,0.41983403138951303
42101,Carbon monoxide,Indiana,2016,0.3272945349181972
42101,Carbon monoxide,Indiana,2017,0.432484768368149
42101,Carbon monoxide,Indiana,2018,0.34152005755859405
42101,Carbon monoxide,Indiana,2019,0.34038982598764067
42101,Carbon monoxide,Indiana,2020,0.3054381809804671
42101,Carbon monoxide,Indiana,2021,0.3135737345607952
42101,Carbon monoxide,Indiana,2022,0.21404563203032853
42101,Carbon monoxide,Indiana,2023,0.3202657513419829
42101,Carbon monoxide,Indiana,2024,0.3299659167540622
42101,Carbon monoxide,Iowa,2015,0.21359668411859262
42101,Carbon monoxide,Iowa,2016,0.2130764625746441
42101,Carbon monoxide,Iowa,2017,0.21042110310490314
42101,Carbon monoxide,Iowa,2018,0.21263651626578947
42101,Carbon monoxide,Iowa,2019,0.2009785426674887
42101,Carbon monoxide,Iowa,2020,0.183542948464751
42101,Carbon monoxide,Iowa,2021,0.19612296192935358
42101,Carbon monoxide,Iowa,2022,0.17583513188139857
42101,Carbon monoxide,Iowa,2023,0.21575524811190977
42101,Carbon monoxide,Iowa,2024,0.18594192034891346
42101,Carbon monoxide,Kansas,2015,0.28495399362508694
42101,Carbon monoxide,Kansas,2016,0.22596537331996583
42101,Carbon monoxide,Kansas,2017,0.1884438153647242
42101,Carbon monoxide,Kansas,2018,0.19735109854755042
42101,Carbon monoxide,Kansas,2019,0.20275747742113656
42101,Carbon monoxide,Kansas,2020,0.1892607173070985
42101,Carbon monoxide,Kansas,2021,0.17916283150912093
42101,Carbon monoxide,Kansas,2022,0.13879327570333339
42101,Carbon monoxide,Kansas,2023,0.14210625927809903
42101,Carbon monoxide,Kentucky,2015,0.28694273189030545
42101,Carbon monoxide,Kentucky,2016,0.28703925990453877
42101,Carbon monoxide,Kentucky,2017,0.2632777772645998
42101,Carbon monoxide,Kentucky,2018,0.2592288340755267
42101,Carbon monoxide,Kentucky,2019,0.2548685093395734
42101,Carbon monoxide,Kentucky,2020,0.24345315648346585
42101,Carbon monoxide,Kentucky,2021,0.2623347059679443
42101,Carbon monoxide,Kentucky,2022,0.2575157764019089
42101,Carbon monoxide,Kentucky,2023,0.2934855179511192
42101,Carbon monoxide,Kentucky,2024,0.26757144778630176
42101,Carbon monoxide,Louisiana,2015,0.34618185691015874
42101,Carbon monoxide,Louisiana,2016,0.2970072421185999
42101,Carbon monoxide,Louisiana,2017,0.2905342335274659
42101,Carbon monoxide,Louisiana,2018,0.28200885030558587
42101,Carbon monoxide,Louisiana,2019,0.207749329296707
42101,Carbon monoxide,Louisiana,2020,0.22774246842352835
42101,Carbon monoxide,Louisiana,2021,0.23064046647644695
42101,Carbon monoxide,Louisiana,2022,0.2466997500613146
42101,Carbon monoxide,Louisiana,2023,0.2286818493540832
42101,Carbon monoxide,Louisiana,2024,0.21454926287388212
42101,Carbon monoxide,Maine,2015,0.21433099959591684
42101,Carbon monoxide,Maine,2016,0.19514501676584103
42101,Carbon monoxide,Maine,2017,0.19083872531631363
42101,Carbon monoxide,Maine,2018,0.17055422009775106
42101,Carbon monoxide,Maine,2019,0.16010065225686956
42101,Carbon monoxide,Maine,2020,0.1601867872540542
42101,Carbon monoxide,Maine,2021,0.1697013828129208
42101,Carbon monoxide,Maine,2022,0.1489157036947216
42101,Carbon monoxide,Maine,2023,0.17850656497933481
42101,Carbon monoxide,Maine,2024,0.16419168237248594
42101,Carbon monoxide,Maryland,2015,0.23465010030436945
42101,Carbon monoxide,Maryland,2016,0.19657418947562502
42101,Carbon monoxide,Maryland,2017,0.17923343729335975
42101,Carbon monoxide,Maryland,2018,0.19163741335215462
42101,Carbon monoxide,Maryland,2019,0.20379016190668706
42101,Carbon monoxide,Maryland,2020,0.20399331454661318
42101,Carbon monoxide,Maryland,2021,0.20135461323592355
42101,Carbon monoxide,Maryland,2022,0.1770915790816972
42101,Carbon monoxide,Maryland,2023,0.20954934974692477
42101,Carbon monoxide,Maryland,2024,0.16878438351042918
42101,Carbon monoxide,Massachusetts,2015,0.2523560199116514
42101,Carbon monoxide,Massachusetts,2016,0.2442130908255368
42101,Carbon monoxide,Massachusetts,2017,0.23697111402659676
42101,Carbon monoxide,Massachusetts,2018,0.2579892503952624
42101,Carbon monoxide,Massachusetts,2019,0.23370504215739657
42101,Carbon monoxide,Massachusetts,2020,0.22579561928391573
42101,Carbon monoxide,Massachusetts,2021,0.25816806044780477
42101,Carbon monoxide,Massachusetts,2022,0.2676671178591437
42101,Carbon monoxide,Massachusetts,2023,0.2865046618072959
42101,Carbon monoxide,Massachusetts,2024,0.2532017104607382
42101,Carbon monoxide,Michigan,2015,0.32673161829322195
42101,Carbon monoxide,Michigan,2016,0.3316305051737464
42101,Carbon monoxide,Michigan,2017,0.4038240980555949
42101,Carbon monoxide,Michigan,2018,0.3832117083385022
42101,Carbon monoxide,Michigan,2019,0.3497036696096857
42101,Carbon monoxide,Michigan,2020,0.3143366806544544
42101,Carbon monoxide,Michigan,2021,0.34637156579022904
42101,Carbon monoxide,Michigan,2022,0.2837438811071943
42101,Carbon monoxide,Michigan,2023,0.42121159405106406
42101,Carbon monoxide,Michigan,2024,0.370795463801799
42101,Carbon monoxide,Minnesota,2015,0.13885250320768186
42101,Carbon monoxide,Minnesota,2016,0.17358956117997384
42101,Carbon monoxide,Minnesota,2017,0.2468152597552002
42101,Carbon monoxide,Minnesota,2018,0.3051993046863566
42101,Carbon monoxide,Minnesota,2019,0.2854572983615673
42101,Carbon monoxide,Minnesota,2020,0.2399960712925832
42101,Carbon monoxide,Minnesota,2021,0.26675293689738494
42101,Carbon monoxide,Minnesota,2022,0.25095471008745307
42101,Carbon monoxide,Minnesota,2023,0.29693202000257574
42101,Carbon monoxide,Minnesota,2024,0.2522932042447198
42101,Carbon monoxide,Mississippi,2015,0.3261669072769367
42101,Carbon monoxide,Mississippi,2016,0.22231767411322156
42101,Carbon monoxide,Mississippi,2017,0.26008485453619984
42101,Carbon monoxide,Mississippi,2018,0.132739209143013
42101,Carbon monoxide,Mississippi,2019,0.1375693258901995
42101,Carbon monoxide,Mississippi,2020,0.1438252023929028
42101,Carbon monoxide,Mississippi,2021,0.16144909235667954
42101,Carbon monoxide,Mississippi,2022,0.06671152171869384
42101,Carbon monoxide,Mississippi,2023,0.2406686902396502
42101,Carbon monoxide,Mississippi,2024,0.24881007252858006
42101,Carbon monoxide,Missouri,2015,0.282033930290805
42101,Carbon monoxide,Missouri,2016,0.29466604452215306
42101,Carbon monoxide,Missouri,2017,0.2629372549380913
42101,Carbon monoxide,Missouri,2018,0.26514110815870345
42101,Carbon monoxide,Missouri,2019,0.26450458650596126
42101,Carbon monoxide,Missouri,2020,0.25729960078129455
42101,Carbon monoxide,Missouri,2021,0.27148314304994664
42101,Carbon monoxide,Missouri,2022,0.2518096819789977
42101,Carbon monoxide,Missouri,2023,0.27678895409123083
42101,Carbon monoxide,Missouri,2024,0.2498000480707861
42101,Carbon monoxide,Montana,2015,0.1712244243597935
42101,Carbon monoxide,Montana,2016,0.20048032504096375
42101,Carbon monoxide,Montana,2017,0.19384493855893317
42101,Carbon monoxide,Montana,2018,0.1758374831377099
42101,Carbon monoxide,Montana,2019,0.16740296356048526
42101,Carbon monoxide,Montana,2020,0.169543300309722
42101,Carbon monoxide,Montana,2021,0.20521642295673054
42101,Carbon monoxide,Montana,2022,0.16917722911770466
42101,Carbon monoxide,Montana,2023,0.17395904918062782
42101,Carbon monoxide,Montana,2024,0.1784390788598795
42101,Carbon monoxide,Nebraska,2015,0.3433122267206824
42101,Carbon monoxide,Nebraska,2016,0.30538193921904316
42101,Carbon monoxide,Nebraska,2017,0.2813454918153206
42101,Carbon monoxide,Nebraska,2018,0.286341324580212
42101,Carbon monoxide,Nebraska,2019,0.27779040652627995
42101,Carbon monoxide,Nebraska,2020,0.32824606583193106
42101,Carbon monoxide,Nebraska,2021,0.2660008486330808
42101,Carbon monoxide,Nebraska,2022,0.20205434678346787
42101,Carbon monoxide,Nebraska,2023,0.23584172577691803
42101,Carbon monoxide,Nebraska,2024,0.2226700708066689
42101,Carbon monoxide,Nevada,2015,0.36159516876265796
42101,Carbon monoxide,Nevada,2016,0.36499077731656265
42101,Carbon monoxide,Nevada,2017,0.35820614349210733
42101,Carbon monoxide,Nevada,2018,0.36872562008116233
42101,Carbon monoxide,Nevada,2019,0.3315470279548233
42101,Carbon monoxide,Nevada,2020,0.375514528429525
42101,Carbon monoxide,Nevada,2021,0.3222921623957933
42101,Carbon monoxide,Nevada,2022,0.30294994200741776
42101,Carbon monoxide,Nevada,2023,0.3007869576095674
42101,Carbon monoxide,Nevada,2024,0.32265303684066193
42101,Carbon monoxide,New Hampshire,2015,0.17829490984835325
42101,Carbon monoxide,New Hampshire,2016,0.16263309910615142
42101,Carbon monoxide,New Hampshire,2017,0.15728858659850256
42101,Carbon monoxide,New Hampshire,2018,0.16696077981513557
42101,Carbon monoxide,New Hampshire,2019,0.15601505856973652
42101,Carbon monoxide,New Hampshire,2020,0.15513757976546766
42101,Carbon monoxide,New Hampshire,2021,0.1705627304141345
42101,Carbon monoxide,New Hampshire,2022,0.14769537508639818
42101,Carbon monoxide,New Hampshire,2023,0.16220658158760176
42101,Carbon monoxide,New Hampshire,2024,0.1245099976251109
42101,Carbon monoxide,New Jersey,2015,0.3576903979770869
42101,Carbon monoxide,New Jersey,2016,0.31335474463214724
42101,Carbon monoxide,New Jersey,2017,0.2925451141313818
42101,Carbon monoxide,New Jersey,2018,0.31126923764858583
42101,Carbon monoxide,New Jersey,2019,0.30776005035159903
42101,Carbon monoxide,New Jersey,2020,0.3153700159451424
42101,Carbon monoxide,New Jersey,2021,0.3912935580448585
42101,Carbon monoxide,New Jersey,2022,0.3752069161033034
42101,Carbon monoxide,New Jersey,2023,0.3717846690236323
42101,Carbon monoxide,New Jersey,2024,0.3188116699510259
42101,Carbon monoxide,New Mexico,2015,0.21040794941437357
42101,Carbon monoxide,New Mexico,2016,0.21912667901094404
42101,Carbon monoxide,New Mexico,2017,0.20937680243296702
42101,Carbon monoxide,New Mexico,2018,0.21517790739838605
42101,Carbon monoxide,New Mexico,2019,0.16835746882491495
42101,Carbon monoxide,New Mexico,2020,0.178170892167047
42101,Carbon monoxide,New Mexico,2021,0.16779922256745175
42101,Carbon monoxide,New Mexico,2022,0.20490798487575554
42101,Carbon monoxide,New Mexico,2023,0.2139955947306951
42101,Carbon monoxide,New Mexico,2024,0.17641071394221858
42101,Carbon monoxide,New York,2015,0.25501147849133105
42101,Carbon monoxide,New York,2016,0.24368483234602423
42101,Carbon monoxide,New York,2017,0.2112200224609581
42101,Carbon monoxide,New York,2018,0.24229087641724908
42101,Carbon monoxide,New York,2019,0.23716948054422332
42101,Carbon monoxide,New York,2020,0.2138293076895921
42101,Carbon monoxide,New York,2021,0.22814117880950513
42101,Carbon monoxide,New York,2022,0.22006090824444913
42101,Carbon monoxide,New York,2023,0.2441113063049999
42101,Carbon monoxide,New York,2024,0.217295727493467
42101,Carbon monoxide,North Carolina,2015,0.2754923866571573
42101,Carbon monoxide,North Carolina,2016,0.2442229051826805
42101,Carbon monoxide,North Carolina,2017,0.27080796623022707
42101,Carbon monoxide,North Carolina,2018,0.26726988251985667
42101,Carbon monoxide,North Carolina,2019,0.28547401104899456
42101,Carbon monoxide,North Carolina,2020,0.25904068484707593
42101,Carbon monoxide,North Carolina,2021,0.2850854633243846
42101,Carbon monoxide,North Carolina,2022,0.26266008481175895
42101,Carbon monoxide,North Carolina,2023,0.30494648022605814
42101,Carbon monoxide,North Carolina,2024,0.26592751202955434
42101,Carbon monoxide,North Dakota,2015,0.1659106752042542
42101,Carbon monoxide,North Dakota,2016,0.16819486587671675
42101,Carbon monoxide,North Dakota,2017,0.1776930402968902
42101,Carbon monoxide,North Dakota,2018,0.16965836853354996
42101,Carbon monoxide,North Dakota,2019,0.16349224865493858
42101,Carbon monoxide,North Dakota,2020,0.16571850521493345
42101,Carbon monoxide,North Dakota,2021,0.1793957637590305
42101,Carbon monoxide,North Dakota,2022,0.15109575936308312
42101,Carbon monoxide,North Dakota,2023,0.17973392262645219
